character_name,playable,rarity,vision,region,model,constellation,birthday,special_dish,voice_eng,voice_cn,voice_jp,voice_kr,release_date,weapon_type,ascension,ascension_specialty,ascension_talent_mat,ascension_boss_mat,talent_book_1,talent_book_2,talent_book_3,talent_weekly,hp_90_90,hp_90_90_ac,atk_90_90,atk_90_90_ac,def_90_90,def_90_90_ac,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6,id,elem_recharge,elem_recharge_ac,elem_mastery,elem_mastery_ac,heal_bns_ac,tag1,lcltier_tag1,glbtier_tag1,score_atk_tag1,score_hlr_tag1,tag2,lcltier_tag2,glbtier_tag2,score_atk_tag2,score_hlr_tag2,spt_type1,spt_type2,coef_atkspt,coef_defspt,coef_hpspt,visbm_indiv,vbi_amp,vbi_amp_time,vbi_amp_axis,coef_vbi,visbm_glb,vbg_amp,vbg_amp_time,vbg_amp_axis,bm1,amp1,calc_zone_1,calc_zone_2,eskill_lst,eskill_cd,eskill_ave,eskill_eff,qskill_lst,qskill_cd,qskill_ave,qskill_eff,nmlatk_coef,character_name2,arm,qskill_cd00
,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NA,0,0,,0,0,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Albedo,Y,5,Geo,Mondstadt,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,Khoi Dao,Mace,Kenji Nojima (野u健),Kim Myung-jun (???),12/23/2020,Sword,Geo DMG Bonus,Cecilia,Divining Scroll,Basalt Pillar,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli,13226,13226,251,301.6016,876,876,12296,233,815,11669,222,773,10746,204,712,10119,192,670,9207,175,610,8579,163,568,7675,146,508,6839,130,453,5944,113,394,5317,101,352,3554,68,235,2671,51,177,1030,20,68,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,0,100.00%,1,0.00%,0,0,Vice_DamageDealer,1,4,289.537536,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,for_physical_attackers,,1,4,1.28,,1,20,2.4,,,Albedo,1,12
Aloy,Y,5,Cryo,NA,Medium Female,Nora Fortis,4月4日,Satiety Gel,Giselle Fernandez,Mufei (沐霏),Ayahi Takagaki (高垣 彩),Jo Hyeon-jeong (???),9/1/2021,Bow,Cryo DMG Bonus,Crystal Marrow,Spectral Husk,Crystalline Bloom,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Molten Moment,10899,10899,234,294.6528,676,676,10133,217,629,9616,206,597,8856,190,550,8339,179,517,7587,163,471,7070,152,439,6325,136,393,5636,121,350,4899,105,304,4382,94,272,2928,63,182,2201,47,137,848,18,53,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,1,100.00%,1,0.00%,0,0,Damage_Dealer,4,6,324.11808,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,phy,ele,1,20,1.6,,1,20,3,,,Aloy,5,12
Amber,Y,4,Pyro,Mondstadt,Medium Female,Lepus,10月8日,Outrider's Champion Steak!,Kelly Baskin,Shujin Cai (蔡书瑾),Manaka Iwami (石舞菜香),Kim Yeon-woo (???),9/28/2020,Bow,ATK,Small Lamp Grass,Firm Arrowhead,Everflame Seed,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Dvalin's Sigh,9461,9461,223,276.52,601,601,8806,208,559,8385,198,532,7730,182,491,7309,172,464,6654,157,422,6233,147,396,5578,131,354,5016,118,318,4361,103,277,3940,93,250,2630,62,167,2038,48,129,793,19,50,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,2,100.00%,1,0.00%,0,0,Vice_DamageDealer,2,6,243.3376,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,30%,70%,5,15,0.256,,1,20,2.4,,,Amber,5,12
Arataki Itto,Y,5,Geo,Inazuma,Tall Male,Taurus Iracundus,1月6日,Way of the Strong,Max Mittelman,Zhaokun Liu (刘照坤),Takanori Nishikawa (西川F教),Song Joon-seok (???),12/14/2021,Claymore,CRIT Rate,Onikabuto,Slime Condensate,Riftborn Regalia,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Ashen Heart,12858,12858,227,227,959,959,11954,211,892,11345,199,846,10448,185,779,9838,174,734,8951,158,668,8341,147,622,7462,132,557,6649,117,496,5779,102,431,5170,91,386,3455,61,258,2597,46,194,1001,18,75,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,3,100.00%,1,0.00%,0,0,Damage_Dealer,2,4,272.4,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,for_elemental_attackers,,6,10,0.266666667,,11,20,0.272727273,,,Arataki Itto,2,18
Barbara,Y,4,Hydro,Mondstadt,Medium Female,Crater,5月7日,Spicy Stew,Laura Stahl,Yuanyuan Song (宋媛媛),Akari Kitō (鬼^明里),Yun Ah-yeong (???),9/28/2020,Catalyst,HP,Philanemo Mushroom,Divining Scroll,Cleansing Heart,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Ring of Boreas,9787,12135.88,159,159,669,669,9110,148,623,8674,141,593,7996,130,546,7561,123,517,6884,112,470,6448,105,441,5770,94,394,5189,84,355,4512,73,308,4076,66,279,2721,44,186,2108,34,144,821,13,56,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,4,100.00%,1,0.00%,0,0,Healer,2,5,0,80,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,phy,ele,12,32,0,,1,20,0,,,Barbara,4,20
Beidou,Y,4,Electro,Liyue,Tall Female,Victor Mare,14-Feb,Flash-Fried Filet,Allegra Clark,Yajing Tang (唐雅菁),Ami Koshimizu (小清水美),Jeong Yoo-mi (???),9/28/2020,Claymore,Electro DMG Bonus,Noctilucous Jade,Treasure Hoarder Insignia,Lightning Prism,Teachings of Gold,Guide to Gold,Philosophies of Gold,Dvalin's Sigh,13050,13050,225,262.8,648,648,12146,210,603,11565,200,575,10662,184,530,10081,174,501,9178,158,456,8597,148,427,7694,133,382,6919,119,344,6015,104,299,5435,94,270,3628,63,180,2811,48,140,1094,19,54,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,5,100.00%,1,0.00%,0,0,Vice_DamageDealer,2,4,252.288,0,Damage_Dealer,4,5,0,0,,,1,1,1,,,,20,1,,,,20,,,10%,90%,1,7.5,1.28,,15,20,0.16,,,Beidou,2,20
Bennett,Y,4,Pyro,Mondstadt,Medium Male,Rota Calamitas,1月2日,Teyvat Charred Egg,Cristina Vee Valenzuela,Xueting Mu (穆雪婷),Ryōta ōsaka (逢坂良太),Song Ha-rim (???),9/28/2020,Sword,Energy Recharge,Windwheel Aster,Treasure Hoarder Insignia,Everflame Seed,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dvalin's Plume,12397,12397,191,191,771,771,11539,178,718,10987,169,684,10129,156,630,9577,148,596,8719,134,542,8168,126,508,7309,113,455,6573,101,409,5715,88,356,5163,80,321,3447,53,214,2670,41,166,1039,16,65,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%,6,100.00%,1.267,0.00%,0,0,Support,1,1,0,0,Healer,1,1,0,100,atk,hp,1.87,1,1.6,,,,20,1,,,,20,,,vice_coef,dmg_coef,1,10,0,,12,20,0,,,Bennett,1,15
Chongyun,Y,4,Cryo,Liyue,Medium Male,Nubis Caesor,7月9日,Cold Noodles with Mountain Delicacies,Beau Bridgland,kinsen,Soma Saito (盘僮绸R),Yang Jeong-hwa (???),9/28/2020,Claymore,ATK,Cor Lapis,Damaged Mask,Hoarfrost Core,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Dvalin's Sigh,10984,10984,223,276.52,648,648,10223,208,603,9734,198,575,8974,182,530,8485,172,501,7725,157,456,7236,147,427,6475,131,382,5824,118,344,5063,103,299,4574,93,270,3054,62,180,2366,48,140,1003,19,54,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,7,100.00%,1,0.00%,0,0,Vice_DamageDealer,3,5,254.3984,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,0.8,1,1,15,1.28,,1,20,2.4,,,Chongyun,2,12
Dainsleif,NA,NA,Unknown,Khaenri'ah,Tall Male,Snake Ring Constellation,NA,NA,Yuri Lowenthal,Ye Sun (孙晔),Kenjiro Tsuda?(津田健次郎),Choi Han?(??),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,100.00%,1,0.00%,0,0,,,NA,0,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,,,#DIV/0!,,,20,#DIV/0!,,,Dainsleif,1,
Diluc,Y,5,Pyro,Mondstadt,Tall Male,Noctua,30-Apr,"""Once Upon a Time in Mondstadt""",Sean Chiplock,Yang Ma (马洋),Kensho Ono (小野t章),Choi Seung-hoon (???),9/28/2020,Claymore,CRIT Rate,Small Lamp Grass,Recruit's Insignia,Everflame Seed,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dvalin's Plume,12981,12981,335,335,784,784,12068,311,729,11453,295,692,10547,272,637,9932,256,600,9036,233,546,8421,217,509,7533,194,455,6712,173,405,5834,151,352,5219,135,315,3488,90,211,2621,68,158,1011,26,61,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,9,100.00%,1,0.00%,0,0,Damage_Dealer,1,5,385.25,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,e技能倍率,q技能倍率,1,10,1.6,,1,20,3,,,Diluc,2,12
Diona,Y,4,Cryo,Mondstadt,Short Female,Feles,18-Jan,Definitely Not Bar Food!,Dina Sherman,Nuoya (诺亚),Shiori Izawa (井稍),Woo Jeong-sin (???),11/11/2020,Bow,Cryo DMG Bonus,Calla Lily,Firm Arrowhead,Hoarfrost Core,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Shard of a Foul Legacy,9570,9570,212,257.792,601,601,8907,198,559,8481,188,532,7818,174,491,7393,164,464,6731,149,422,6305,140,396,5642,125,354,5074,113,318,4411,98,277,3985,88,250,2661,59,167,2061,46,129,802,18,50,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,10,100.00%,1,0.00%,0,0,Support,2,5,0,0,Healer,2,5,0,80,def,,1,1.3,1,,,,20,1,,,,20,,,1.6,3,1,15,0,,12,20,0,,,Diona,5,20
Eula,Y,5,Cryo,Mondstadt,Tall Female,Aphros Delos,25-Oct,Stormcrest Pie,Suzie Yeung,Ziyin (子音),Rina Sato (佐藤利奈),Kim Hyeon-ji (???),5/18/2021,Claymore,CRIT DMG,Dandelion Seed,Damaged Mask,Crystalline Bloom,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dragon Lord's Crown,13226,13226,342,357.1164,751,751,12296,318,698,11669,302,662,10746,278,610,10119,262,574,9207,238,523,8579,222,487,7675,199,436,6839,177,388,5944,154,337,5317,138,302,3554,92,202,2671,69,152,1030,27,58,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,11,100.00%,1,0.00%,0,0,Damage_Dealer,2,2,464.25132,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,1,10,1.6,,1,20,3,,,Eula,2,20
Fischl,Y,4,Electro,Mondstadt,Medium Female,Corvus,27-May,Die Heilige Sinfonie,"Brittany Cox, Ben Pronsky","Mace,  Yuantao Li (李元韬), Zhao Yuecheng (赵悦程)","Maaya Uchida (内田真礼), Yasunori Masutani (谷康o)","Park Go-woon (???), Lee Hyun (??)",9/28/2020,Bow,ATK,Small Lamp Grass,Firm Arrowhead,Lightning Prism,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Spirit Locket of Boreas,9189,9189,244,302.56,594,594,8553,227,553,8144,216,526,7508,200,485,7099,189,459,6463,172,418,6054,161,391,5418,144,350,4872,130,315,4236,113,274,3827,102,247,2555,68,165,1979,53,128,770,20,50,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,12,100.00%,1,0.00%,0,0,Vice_DamageDealer,2,2,314.6624,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,10,25,0.128,,1,20,2.4,,,Fischl,5,15
Ganyu,Y,5,Cryo,Liyue,Medium Female,Sinae Unicornis,2月12日,Prosperous Peace,Jennifer Losi,Su Lin (林簌),Reina Ueda (上田奈),Kim Sun-hye (???),1/12/2021,Bow,CRIT DMG,Qingxin,Whopperflower Nectar,Hoarfrost Core,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Shadow of the Warrior,9797,9797,335,349.807,630,630,9108,311,586,8643,295,556,7960,272,512,7495,256,482,6820,233,439,6355,217,409,5686,194,366,5066,173,326,4403,151,283,3939,135,253,2632,90,169,1978,68,127,763,26,49,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,13,100.00%,1,0.00%,0,0,Damage_Dealer,1,4,419.7684,0,Vice_DamageDealer,1,5,321.82244,0,,,1,1,1,,,,20,1,,,,20,,,,,6,10,0.266666667,,15,20,0.2,,,Ganyu,5,15
Gorou,Y,4,Geo,Inazuma,Medium Male,Canis Bellatoris,18-May,Victorious Legend,Cory Yee,Yang Xinran (杨昕燃),Tasuku Hatanaka (中 v),Lee Sae-byeok (???),12/14/2021,Bow,Geo DMG Bonus,Sango Pearl,Spectral Husk,Perpetual Heart,Teachings of Light,,,Molten Moment,9570,9570,183,222.528,648,648,8907,170,603,8481,162,575,7818,149,530,7393,141,501,6731,128,456,6305,120,427,5642,108,382,5074,97,344,4411,84,299,3985,76,270,2661,51,180,2061,39,140,802,15,54,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,14,100.00%,1,0.00%,0,0,Support,2,4,0,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,1,10,0,,9,20,0,,,Gorou,5,20
Hu Tao,Y,5,Pyro,Liyue,Medium Female,Papilio Charontis,15-Jul,Ghostly March,Brianna Knickerbocker,Dian Tao (陶典),Rie Takahashi (高蚶钜),Kim Ha-ru (???),3/2/2021,Polearm,CRIT DMG,Silk Flower,Whopperflower Nectar,Juvenile Jade,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Shard of a Foul Legacy,15552,15552,106,110.6852,876,876,14459,99,815,13721,94,773,12637,86,712,11899,81,670,10826,74,610,10089,69,568,9026,62,508,8042,55,453,6990,48,394,6253,43,352,4179,29,235,3141,21,177,1211,8,68,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,15,100.00%,1,0.00%,0,0,Damage_Dealer,1,3,415.0695,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,8,16,0.2,,1,20,3,,,Hu Tao,3,15
Jean,Y,5,Anemo,Mondstadt,Tall Female,Leo Minor,14-Mar,Invigorating Pizza,Stephanie Southerland,Su Lin (林簌),Chiwa Saitō (忍偾Ш),Ahn Young-mi (???),9/28/2020,Sword,Healing Bonus,Dandelion Seed,Damaged Mask,Hurricane Seed,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dvalin's Plume,14695,14695,239,239,769,769,13662,222,715,12965,211,678,11940,194,624,11243,183,588,10230,166,535,9533,155,499,8528,139,446,7599,124,397,6605,108,345,5908,96,309,3948,64,206,2967,48,155,1144,19,60,0.00%,0.00%,5.50%,11.10%,11.10%,16.60%,22.20%,16,100.00%,1,0.00%,0,0.222,Healer,1,5,0,80,Vice_DamageDealer,2,6,210.32,0,,,1,1,1,,,,20,1,,,,20,,,,,5,5,0,,11,20,0,,,Jean,1,20
Kaedehara Kazuha,Y,5,Anemo,Inazuma,Medium Male,Acer Palmatum,29-Oct,All-Weather Beauty,Mark Whitten,Banma (斑马),Nobunaga Shimazaki (u崎 信L),Kim Shin-woo (???),6/29/2021,Sword,Elemental Mastery,Sea Ganoderma,Treasure Hoarder Insignia,Marionette Core,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Gilded Scale,13348,13348,297,297,807,807,12410,276,750,11777,262,712,10846,241,656,10213,227,617,9292,206,562,8659,192,523,7747,172,468,6902,153,417,5999,133,363,5366,119,324,3586,80,217,2695,60,163,1039,23,63,0%,0%,0.29%,57.60%,57.60%,86.40%,115.20%,17,100.00%,1,0.00%,115.2,0,Support,1,1,0,0,Vice_DamageDealer,1,1,320.76,0,atk,,1.87,1,1,,,,20,1,,,,20,,,,,1,9,0,,8,20,0,,,Kaedehara Kazuha,1,15
Kaeya,Y,4,Cryo,Mondstadt,Tall Male,Pavo Ocellus,30-Nov,Fruity Skewers,Josey Montana McCoy,Ye Sun (孙晔),Kohsuke Toriumi (B海浩o),Jeong Joo-won (???),9/28/2020,Sword,Energy Recharge,Calla Lily,Treasure Hoarder Insignia,Hoarfrost Core,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Spirit Locket of Boreas,11636,11636,223,223,792,792,10830,208,737,10312,198,702,9508,182,647,8990,172,612,8184,157,557,7666,147,522,6860,131,467,6170,118,420,5364,103,365,4846,93,330,3235,62,220,2506,48,171,976,19,66,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%,18,100.00%,1.267,0.00%,0,0,Vice_DamageDealer,4,5,205.16,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,1,6,1.28,,8,20,0.3,,,Kaeya,1,15
Kamisato Ayaka,Y,5,Cryo,Inazuma,Medium Female,Grus Nivis,28-Sep,"""Snow on the Hearth""",Erica Mendez,Xiao N (小N),Saori Hayami (早沙),Lee Yu-ri (???),7/21/2021,Sword,CRIT DMG,Sakura Bloom,Old Handguard,Perpetual Heart,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Bloodjade Branch,12858,12858,342,357.1164,784,784,11954,318,729,11345,302,692,10448,278,637,9838,262,600,8951,238,546,8341,222,509,7462,198,455,6649,177,405,5779,154,352,5170,138,315,3455,92,211,2597,79,158,1001,27,61,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,19,100.00%,1,0.00%,0,0,Damage_Dealer,1,3,446.3955,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,1,10,1.6,,5,20,0.6,,,Kamisato Ayaka,1,20
Kamisato Ayato,Y,5,Hydro,Inazuma,Tall Male,Cypressus Custos,26-Mar,Quiet Elegance,Chris Hackney,Zhaolu (赵路),Akira Ishida (石田 彰),Jang Min-hyeok (???),4/30/2022,Sword,CRIT DMG,Sakura Bloom,Old Handguard,Dew of Repudation,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Mudra of the Malefic General,13715,13715,299,312.2158,769,769,12751,278,715,12101,264,678,11144,243,624,10494,229,588,9548,208,535,8897,194,499,7960,174,446,1092,155,397,6165,135,345,5514,120,309,3685,81,206,2770,61,155,1068,24,60,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,20,100.00%,1,0.00%,0,0,Damage_Dealer,1,3,390.26975,0,Vice_DamageDealer,1,3,312.2158,0,,,1,1,1,,,,20,1,,,,20,,,,,6,12,0.266666667,,18,20,0.166666667,,,Kamisato Ayato,1,20
Keqing,Y,5,Electro,Liyue,Medium Female,Trulla Cementarii,20-Nov,Survival Grilled Fish,Kayli Mills,Ying Xie (谢莹),Eri Kitamura (喜多村英梨),Lee Bo-hee (???),9/28/2020,Sword,CRIT DMG,Cor Lapis,Whopperflower Nectar,Lightning Prism,Teachings of Prosperity,Guide to Prosperity,Philosophies of Prosperity,Ring of Boreas,13103,13103,323,337.2766,799,799,12182,300,743,11561,285,705,10647,262,649,10025,247,612,9121,225,556,8500,209,519,7604,187,464,6776,167,413,5889,145,359,5268,130,321,3521,87,215,2646,65,161,1020,25,62,0.00%,0.00%,9.60%,19.20%,19.20%,28.80%,38.40%,21,100.00%,1,0.00%,0,0,Damage_Dealer,2,4,404.73192,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,1,7.5,1.6,,1,20,3,,,Keqing,1,12
Klee,Y,5,Pyro,Mondstadt,Short Female,Trifolium,27-Jul,Fish-Flavored Toast,Poonam Basu,Hualing (花玲),Misaki Kuno (久野美D),Bang Yeon-ji (???),10/20/2020,Catalyst,Pyro DMG Bonus,Philanemo Mushroom,Divining Scroll,Everflame Seed,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Ring of Boreas,10287,10287,311,391.6112,615,615,9563,289,572,9076,274,542,8358,253,500,7870,238,470,7161,216,428,6673,202,399,5970,180,357,5319,161,318,4623,140,276,4136,125,247,2764,84,165,2077,63,124,801,24,48,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,22,100.00%,1,0.00%,0,0,Damage_Dealer,4,5,450.35288,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,15,20,0.106666667,,10,20,0.3,,,Klee,4,15
Kujou Sara,Y,4,Electro,Inazuma,Tall Female,Flabellum,14-Jul,Faith Eternal,Jeannie Tirado,Yang Menglu (杨梦露),Asami Seto (趼樯趁),Mun Ji-yeong (???),9/1/2021,Bow,ATK,Dendrobium,Damaged Mask,Storm Beads,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Ashen Heart,9570,9570,195,241.8,628,628,8907,182,584,8481,173,556,7818,160,513,7393,151,485,6731,137,442,6305,129,414,5642,115,370,5074,104,333,4411,90,289,3985,81,262,2661,54,175,2061,42,135,802,16,53,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,23,100.00%,1,0.00%,0,0,Support,2,4,0,0,Vice_DamageDealer,2,5,222.456,0,atk,,1.48,1,1,,,,20,1,,,,20,,,,,1,10,0,,1,20,0,,,Kujou Sara,5,20
Kuki Shinobu,N,4,Electro,Inazuma,Medium Female,Tribulatio Demptio,NA,NA,NA,NA,NA,NA,NA,Sword,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,100.00%,1,0.00%,0,0,,,2,0,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,12,15,0.133333333,,2,20,1.5,,,Kuki Shinobu,1,15
